iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,0,0.8294414649536084,0.6856557377049181,"[2.164710298761145, 1.3407885478688526, 0.8294414649536084]","[0.38401639344262295, 0.49631147540983606, 0.6856557377049181]"
0,8,0.45880633461717013,0.8006771053745239,"[2.1541020048631205, 0.8700124927469202, 0.45880633461717013]","[0.38679644519678374, 0.5590351248413035, 0.8006771053745239]"
0,12,0.666408850313866,0.7586355785837651,"[2.049905141738996, 1.0480526877592689, 0.666408850313866]","[0.6753022452504318, 0.7625215889464594, 0.7586355785837651]"
0,7,0.48518197566270826,0.7651006711409396,"[2.149039969444275, 0.8635890889167785, 0.48518197566270826]","[0.38716442953020136, 0.5343959731543624, 0.7651006711409396]"
0,3,0.4548168838024139,0.7930456640134059,"[2.1469147698084514, 0.8440186667442322, 0.4548168838024139]","[0.4051110180142438, 0.5509007121910348, 0.7930456640134059]"
0,5,0.45352052147189775,0.780067283431455,"[2.149136382738749, 0.8614054417610169, 0.45352052147189775]","[0.38519764507989906, 0.5466778805719091, 0.780067283431455]"
0,13,0.6684146001935005,0.7569686411149826,"[2.057387039065361, 1.1004876602027152, 0.6684146001935005]","[0.6663763066202091, 0.7569686411149826, 0.7569686411149826]"
0,2,0.7817846300540032,0.7159691182446161,"[2.1625733963854903, 1.3160226902404388, 0.7817846300540032]","[0.38358390898008937, 0.518488419341731, 0.7159691182446161]"
0,14,0.670882417096032,0.7716535433070866,"[2.054550771911939, 1.0933009882767994, 0.670882417096032]","[0.6771653543307087, 0.7694663167104112, 0.7716535433070866]"
0,4,0.4443915422757467,0.7918246944795617,"[2.149003143310547, 0.8613696281115214, 0.4443915422757467]","[0.38811630847029077, 0.5351875263379688, 0.7918246944795617]"
0,9,0.4716825298468272,0.7829751369574378,"[2.1484430821736655, 0.8598919328053792, 0.4716825298468272]","[0.40075853350189633, 0.5575221238938053, 0.7829751369574378]"
0,1,0.7709764622543988,0.7161157024793389,"[2.164052880124042, 1.3063083934156519, 0.7709764622543988]","[0.3871900826446281, 0.5318181818181819, 0.7161157024793389]"
0,6,0.46843883838202505,0.7880067567567568,"[2.1525732649339213, 0.8748240664198592, 0.46843883838202505]","[0.3927364864864865, 0.5316722972972973, 0.7880067567567568]"
0,11,0.6805628190437952,0.7640400522420548,"[2.0539051675134234, 1.0807196874585416, 0.6805628190437952]","[0.673487157161515, 0.7622986504135829, 0.7640400522420548]"
0,10,0.6728372342056699,0.7690622261174408,"[2.0525481038623385, 1.0475257121854358, 0.6728372342056699]","[0.6779141104294478, 0.7681858019281332, 0.7690622261174408]"
1,2,0.28391574337691455,0.9061357171881349,"[0.7912801024201629, 0.36109451639961887, 0.28391574337691455]","[0.7310036570499797, 0.8780983340105648, 0.9061357171881349]"
1,12,0.20136400152712244,0.9365284974093264,"[0.5812149129501761, 0.30434731123586223, 0.20136400152712244]","[0.8100172711571675, 0.9067357512953368, 0.9365284974093264]"
1,3,0.07260332611079018,0.9794721407624634,"[0.3283326666553815, 0.11002455358703932, 0.07260332611079018]","[0.8919145370758274, 0.9656472559698366, 0.9794721407624634]"
1,14,0.2660799104616874,0.9177602799650044,"[0.6541382370309697, 0.30786432907916605, 0.2660799104616874]","[0.7812773403324584, 0.9020122484689413, 0.9177602799650044]"
1,7,0.07754949672147632,0.9798657718120806,"[0.35186865290006003, 0.11950690106799206, 0.07754949672147632]","[0.8934563758389261, 0.9601510067114094, 0.9798657718120806]"
1,1,0.2500926915948328,0.9161157024793388,"[0.7831110683710951, 0.36230643799430445, 0.2500926915948328]","[0.7268595041322314, 0.8842975206611571, 0.9161157024793388]"
1,5,0.07551440222809712,0.9802354920100925,"[0.31266824997961523, 0.11760516729826728, 0.07551440222809712]","[0.8788898233809924, 0.9608915054667788, 0.9802354920100925]"
